unit_id,source,condition,age_days,brand_tier
1,Store-Customer,MissingPart,26,Standard
2,Internet/Shipping,SeamDefect,41,Standard
3,Store-Customer,MissingPart,13,Standard
4,Internet/Shipping,ColorMismatch,6,Standard
5,Internet/Shipping,NotLiked,0,Standard
6,Store-Employee,SeamDefect,4,Premium
7,Store-Customer,SeamDefect,3,Premium
8,Store-Customer,MissingPart,11,Premium
9,Internet/Shipping,MissingPart,7,Standard
10,Internet/Shipping,Undamaged,14,Standard
11,Internet/Shipping,Undamaged,13,Standard
12,Store-Customer,MissingPart,11,Standard
13,Internet/Shipping,NotLiked,6,Standard
14,Store-Customer,Undamaged,117,Standard
15,Internet/Shipping,NotLiked,17,Standard
16,Internet/Shipping,NotLiked,16,Standard
17,Internet/Shipping,SeamDefect,2,Standard
18,Internet/Shipping,NotLiked,1,Standard
19,Store-Customer,ColorMismatch,85,Premium
20,Internet/Shipping,NotLiked,1,Premium
21,Store-Customer,SeamDefect,2,Standard
22,Internet/Shipping,NotLiked,3,Standard
23,Store-Employee,MissingPart,12,Standard
24,Store-Customer,SeamDefect,68,Standard
25,Store-Customer,Undamaged,2,Standard
26,Internet/Shipping,ColorMismatch,68,Standard
27,Internet/Shipping,NotLiked,0,Standard
28,Internet/Shipping,Torn,13,Standard
29,Internet/Shipping,Undamaged,10,Standard
30,Internet/Shipping,Undamaged,4,Standard
31,Internet/Shipping,NotLiked,3,Standard
32,Store-Employee,Undamaged,2,Standard
33,Internet/Shipping,ColorMismatch,59,Premium
34,Internet/Shipping,ColorMismatch,12,Standard
35,Internet/Shipping,ColorMismatch,286,Standard
36,Internet/Shipping,NotLiked,243,Premium
37,Internet/Shipping,NotLiked,6,Standard
38,Internet/Shipping,NotLiked,25,Standard
39,Internet/Shipping,NotLiked,0,Premium
40,Internet/Shipping,NotLiked,6,Standard
41,Internet/Shipping,NotLiked,95,Standard
42,Store-Customer,NotLiked,24,Standard
43,Internet/Shipping,NotLiked,7,Standard
44,Internet/Shipping,ColorMismatch,13,Standard
45,Store-Customer,SeamDefect,11,Standard
46,Store-Customer,ColorMismatch,170,Standard
47,Internet/Shipping,NotLiked,12,Standard
48,Internet/Shipping,Stained,4,Premium
49,Internet/Shipping,ColorMismatch,4,Standard
50,Internet/Shipping,NotLiked,6,Standard
51,Internet/Shipping,ColorMismatch,12,Standard
52,Internet/Shipping,NotLiked,58,Standard
53,Store-Customer,MissingPart,2,Premium
54,Internet/Shipping,MissingPart,6,Standard
55,Internet/Shipping,NotLiked,1,Standard
56,Store-Customer,NotLiked,16,Standard
57,Internet/Shipping,Undamaged,131,Premium
58,Internet/Shipping,NotLiked,4,Standard
59,Internet/Shipping,NotLiked,0,Premium
60,Internet/Shipping,NotLiked,14,Standard
61,Internet/Shipping,Stained,7,Premium
62,Internet/Shipping,ColorMismatch,111,Standard
63,Internet/Shipping,NotLiked,1,Premium
64,Store-Customer,NotLiked,5,Standard
65,Internet/Shipping,NotLiked,140,Standard
66,Internet/Shipping,NotLiked,1,Premium
67,Internet/Shipping,NotLiked,5,Premium
68,Internet/Shipping,NotLiked,1,Premium
69,Internet/Shipping,NotLiked,4,Standard
70,Internet/Shipping,Torn,0,Standard
71,Internet/Shipping,SeamDefect,0,Standard
72,Internet/Shipping,NotLiked,7,Standard
73,Store-Customer,Stained,0,Premium
74,Internet/Shipping,ColorMismatch,13,Standard
75,Internet/Shipping,NotLiked,8,Standard
76,Internet/Shipping,ColorMismatch,7,Standard
77,Internet/Shipping,NotLiked,7,Standard
78,Internet/Shipping,ColorMismatch,9,Standard
79,Internet/Shipping,Undamaged,106,Premium
80,Store-Customer,NotLiked,161,Standard
81,Internet/Shipping,Undamaged,0,Premium
82,Internet/Shipping,NotLiked,6,Standard
83,Store-Customer,NotLiked,7,Standard
84,Internet/Shipping,Stained,6,Standard
85,Internet/Shipping,NotLiked,14,Standard
86,Internet/Shipping,NotLiked,7,Premium
87,Internet/Shipping,ColorMismatch,0,Standard
88,Internet/Shipping,NotLiked,1,Premium
89,Internet/Shipping,Torn,9,Standard
90,Internet/Shipping,Undamaged,6,Standard
91,Internet/Shipping,NotLiked,37,Standard
92,Internet/Shipping,MissingPart,0,Standard
93,Internet/Shipping,NotLiked,111,Premium
94,Internet/Shipping,NotLiked,0,Standard
95,Internet/Shipping,NotLiked,45,Premium
96,Internet/Shipping,Stained,101,Standard
97,Internet/Shipping,NotLiked,102,Standard
98,Internet/Shipping,NotLiked,83,Premium
99,Internet/Shipping,NotLiked,26,Premium
100,Store-Employee,Torn,12,Premium
