unit_id,source,condition,age_days,brand_tier,model_a,model_b,model_c,model_d,utility_a,utility_b
1,Store-Customer,MissingPart,181,Standard,Disposal,Refurbishing,Repair,Repair,0.0,12.943666288046842
2,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Donation,Resale,61.18578618913899,61.18578618913899
3,Store-Customer,SeamDefect,53,Standard,Disposal,Resale,Recycling,Repair,0.0,1.238660087376088
4,Internet/Shipping,NotLiked,12,Standard,Resale,Resale,Repackaging,Resale,60.748517910301615,60.748517910301615
5,Internet/Shipping,NotLiked,2,Premium,Resale,Resale,Repackaging,Resale,92.81118887406298,92.81118887406298
6,Store-Employee,MissingPart,36,Standard,Donation,Resale,Donation,Repair,13.881205135954652,6.528723081572792
7,Store-Customer,Torn,6,Standard,Recycling,Donation,Repair,Repair,5.937188622566319,10.916251496755091
8,Store-Customer,SeamDefect,3,Standard,Donation,Resale,Recycling,Repair,12.353869230751945,1.5790314685236115
9,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Refurbishing,Resale,61.12313173539791,61.12313173539791
10,Internet/Shipping,ColorMismatch,12,Standard,Resale,Resale,Resale,Resale,31.58250995016757,31.58250995016757
11,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Recycling,Resale,61.49999999999999,61.49999999999999
12,Store-Customer,Undamaged,5,Standard,Resale,Resale,DiscountSale,Resale,65.26832986631337,65.26832986631337
13,Internet/Shipping,Stained,4,Standard,Refurbishing,Refurbishing,Donation,Refurbishing,28.860279627039702,28.860279627039702
14,Store-Customer,Undamaged,1,Standard,Resale,Resale,Donation,Resale,65.53353323891943,65.53353323891943
15,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Donation,Resale,61.311283216712496,61.311283216712496
16,Internet/Shipping,Undamaged,8,Standard,Resale,Resale,Donation,Resale,65.07012233666453,65.07012233666453
17,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Recycling,Resale,61.12313173539791,61.12313173539791
18,Internet/Shipping,ColorMismatch,0,Standard,Resale,Resale,Resale,Resale,32.0,32.0
19,Store-Customer,Undamaged,13,Standard,Resale,Resale,DiscountSale,Resale,64.74109497884912,64.74109497884912
20,Internet/Shipping,ColorMismatch,2,Premium,Resale,Resale,Repackaging,Resale,49.39510493003499,49.39510493003499
21,Store-Customer,Torn,10,Standard,Recycling,Donation,Recycling,Repair,5.895523254366264,10.860697672488353
22,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Repackaging,Resale,61.311283216712496,61.311283216712496
23,Store-Employee,NotLiked,0,Standard,Resale,Resale,Refurbishing,Resale,61.49999999999999,61.49999999999999
