unit_id,source,condition,age_days,brand_tier,assigned_position,utility_score
1,Store-Customer,MissingPart,26,Standard,Donation,14.05086406815311
2,Internet/Shipping,SeamDefect,41,Standard,Disposal,0.0
3,Store-Customer,MissingPart,13,Standard,Donation,14.273972362855034
4,Internet/Shipping,ColorMismatch,6,Standard,Resale,31.79062874188773
5,Internet/Shipping,NotLiked,0,Standard,Resale,61.49999999999999
6,Store-Employee,SeamDefect,4,Premium,Repair,36.561377496503596
7,Store-Customer,SeamDefect,3,Premium,Repair,36.608462412534365
8,Store-Customer,MissingPart,11,Premium,Repair,42.92566463570685
9,Internet/Shipping,MissingPart,7,Standard,Repair,25.755855502663223
10,Internet/Shipping,Undamaged,14,Standard,Resale,64.67548669348031
11,Internet/Shipping,Undamaged,13,Standard,Resale,64.74109497884912
12,Store-Customer,MissingPart,11,Standard,Repair,25.617109757137904
13,Internet/Shipping,NotLiked,6,Standard,Resale,61.12313173539791
14,Store-Customer,Undamaged,117,Standard,Resale,58.25741534536685
15,Internet/Shipping,NotLiked,17,Standard,Resale,60.43805213199931
16,Internet/Shipping,NotLiked,16,Standard,Resale,60.50002116348296
17,Internet/Shipping,SeamDefect,2,Standard,Donation,12.36923077947693
18,Internet/Shipping,NotLiked,1,Standard,Resale,61.43703148950262
19,Store-Customer,ColorMismatch,85,Premium,Resale,45.221894931076505
20,Internet/Shipping,NotLiked,1,Premium,Resale,92.90554723425393
21,Store-Customer,SeamDefect,2,Standard,Donation,12.36923077947693
22,Internet/Shipping,NotLiked,3,Standard,Resale,61.311283216712496
23,Store-Employee,MissingPart,12,Standard,Refurbishing,16.707756965117298
24,Store-Customer,SeamDefect,68,Standard,Disposal,0.0
25,Store-Customer,Undamaged,2,Standard,Resale,65.46713291137763
26,Internet/Shipping,ColorMismatch,68,Standard,Resale,29.699116575202474
27,Internet/Shipping,NotLiked,0,Standard,Resale,61.49999999999999
28,Internet/Shipping,Torn,13,Standard,Recycling,5.864383417713018
29,Internet/Shipping,Undamaged,10,Standard,Resale,64.93831394431967
30,Internet/Shipping,Undamaged,4,Standard,Resale,65.33453129137543
31,Internet/Shipping,NotLiked,3,Standard,Resale,61.311283216712496
32,Store-Employee,Undamaged,2,Standard,Resale,65.46713291137763
33,Internet/Shipping,ColorMismatch,59,Premium,Resale,46.49210538074774
34,Internet/Shipping,ColorMismatch,12,Standard,Resale,31.58250995016757
35,Internet/Shipping,ColorMismatch,286,Standard,Resale,23.29419155814101
36,Internet/Shipping,NotLiked,243,Premium,Resale,72.61365805141207
37,Internet/Shipping,NotLiked,6,Standard,Resale,61.12313173539791
38,Internet/Shipping,NotLiked,25,Standard,Resale,59.94452445778495
39,Internet/Shipping,NotLiked,0,Premium,Resale,93.0
40,Internet/Shipping,NotLiked,6,Standard,Resale,61.12313173539791
41,Internet/Shipping,NotLiked,95,Standard,Resale,55.79049487149858
42,Store-Customer,NotLiked,24,Standard,Resale,60.00599971474828
43,Internet/Shipping,NotLiked,7,Standard,Resale,61.060539904793806
44,Internet/Shipping,ColorMismatch,13,Standard,Resale,31.547944725710067
45,Store-Customer,SeamDefect,11,Standard,Disposal,0.0
46,Store-Customer,ColorMismatch,170,Standard,Resale,26.528268580873426
47,Internet/Shipping,NotLiked,12,Standard,Resale,60.748517910301615
48,Internet/Shipping,Stained,4,Premium,Refurbishing,46.290419440559546
49,Internet/Shipping,ColorMismatch,4,Standard,Resale,31.860279627039702
50,Internet/Shipping,NotLiked,6,Standard,Resale,61.12313173539791
51,Internet/Shipping,ColorMismatch,12,Standard,Resale,31.58250995016757
52,Internet/Shipping,NotLiked,58,Standard,Resale,57.9499466885183
53,Store-Customer,MissingPart,2,Premium,Repair,43.39510493003499
54,Internet/Shipping,MissingPart,6,Standard,Repair,25.79062874188773
55,Internet/Shipping,NotLiked,1,Standard,Resale,61.43703148950262
56,Store-Customer,NotLiked,16,Standard,Resale,60.50002116348296
57,Internet/Shipping,Undamaged,131,Premium,Resale,86.60247299550657
58,Internet/Shipping,NotLiked,4,Standard,Resale,61.24850332867146
59,Internet/Shipping,NotLiked,0,Premium,Resale,93.0
60,Internet/Shipping,NotLiked,14,Standard,Resale,60.6241452885603
61,Internet/Shipping,Stained,7,Premium,Refurbishing,46.133783253994835
62,Internet/Shipping,ColorMismatch,111,Standard,Resale,28.322856212516086
63,Internet/Shipping,NotLiked,1,Premium,Resale,92.90554723425393
64,Store-Customer,NotLiked,5,Standard,Resale,61.18578618913899
65,Internet/Shipping,NotLiked,140,Standard,Resale,53.26956883012476
66,Internet/Shipping,NotLiked,1,Premium,Resale,92.90554723425393
67,Internet/Shipping,NotLiked,5,Premium,Resale,92.52867928370848
68,Internet/Shipping,NotLiked,1,Premium,Resale,92.90554723425393
69,Internet/Shipping,NotLiked,4,Standard,Resale,61.24850332867146
70,Internet/Shipping,Torn,0,Standard,Recycling,6.0
71,Internet/Shipping,SeamDefect,0,Standard,Donation,12.399999999999999
72,Internet/Shipping,NotLiked,7,Standard,Resale,61.060539904793806
73,Store-Customer,Stained,0,Premium,Refurbishing,46.5
74,Internet/Shipping,ColorMismatch,13,Standard,Resale,31.547944725710067
75,Internet/Shipping,NotLiked,8,Standard,Resale,60.99801063473481
76,Internet/Shipping,ColorMismatch,7,Standard,Resale,31.755855502663223
77,Internet/Shipping,NotLiked,7,Standard,Resale,61.060539904793806
78,Internet/Shipping,ColorMismatch,9,Standard,Resale,31.686413257050923
79,Internet/Shipping,Undamaged,106,Premium,Resale,88.8176086455734
80,Store-Customer,NotLiked,161,Standard,Resale,52.13140047975052
81,Internet/Shipping,Undamaged,0,Premium,Resale,98.85
82,Internet/Shipping,NotLiked,6,Standard,Resale,61.12313173539791
83,Store-Customer,NotLiked,7,Standard,Resale,61.060539904793806
84,Internet/Shipping,Stained,6,Standard,Refurbishing,28.79062874188773
85,Internet/Shipping,NotLiked,14,Standard,Resale,60.6241452885603
86,Internet/Shipping,NotLiked,7,Premium,Resale,92.3408098571907
87,Internet/Shipping,ColorMismatch,0,Standard,Resale,32.0
88,Internet/Shipping,NotLiked,1,Premium,Resale,92.90554723425393
89,Internet/Shipping,Torn,9,Standard,Recycling,5.905923977115277
90,Internet/Shipping,Undamaged,6,Standard,Resale,65.20219460958668
91,Internet/Shipping,NotLiked,37,Standard,Resale,59.21159652699037
92,Internet/Shipping,MissingPart,0,Standard,Repair,26.0
93,Internet/Shipping,NotLiked,111,Premium,Resale,83.07171177379342
94,Internet/Shipping,NotLiked,0,Standard,Resale,61.49999999999999
95,Internet/Shipping,NotLiked,45,Premium,Resale,88.84176203322794
96,Internet/Shipping,Stained,101,Standard,Refurbishing,25.637656151005242
97,Internet/Shipping,NotLiked,102,Standard,Resale,55.39086175513923
98,Internet/Shipping,NotLiked,83,Premium,Resale,85.47318341230178
99,Internet/Shipping,NotLiked,26,Premium,Resale,90.5746659680268
100,Store-Employee,Torn,12,Premium,Recycling,11.062129477575404
